Tx,aso24,aso25,aso26,fc
 (40:40:40),40,40,40,2.799558
(40:40:10),40,40,10,2.720267
(40:40:20),40,40,20,2.362767
(40:10:40),40,10,40,2.714643
(40:20:40),40,20,40,1.955462
(10:40:40),10,40,40,3.625608
(20:40:40),20,40,40,2.589259
(40:10:10),40,10,10,1.743185
(40:20:20),40,20,20,3.214867
(10:40:10),10,40,10,3.711001
(20:40:20),20,40,20,3.27494
(10:10:40),10,10,40,2.709895
(20:20:40),20,20,40,4.005138
(10:20:40),10,20,40,4.129331
(20:10:40),20,10,40,2.597346
(10:40:20),10,40,20,3.292839
(20:40:10),20,40,10,2.220544
(40:10:20),40,10,20,2.414682
(40:20:10),40,20,10,1.374215
(10:10:10),10,10,10,1.37634
(120:0:0),120,0,0,2.110124
(0:120:0),0,120,0,2.013122
(0:0:120),0,0,120,2.141501
(60:60:0),60,60,0,2.989232
(60:0:60),60,0,60,2.287152
(0:60:60),0,60,60,3.23556
 (40:40:40),40,40,40,2.873384
(40:40:10),40,40,10,1.175417
(40:40:20),40,40,20,1.921012
(40:10:40),40,10,40,2.154158
(40:20:40),40,20,40,1.897619
(10:40:40),10,40,40,1.364611
(20:40:40),20,40,40,2.493606
(40:10:10),40,10,10,2.296126
(40:20:20),40,20,20,2.027483
(10:40:10),10,40,10,2.49051
(20:40:20),20,40,20,2.373105
(10:10:40),10,10,40,2.17447
(20:20:40),20,20,40,2.228678
(10:20:40),10,20,40,1.77374
(20:10:40),20,10,40,2.512164
(10:40:20),10,40,20,2.719627
(20:40:10),20,40,10,2.048895
(40:10:20),40,10,20,2.089672
(40:20:10),40,20,10,2.05386
(10:10:10),10,10,10,2.499446
(120:0:0),120,0,0,2.053013
(0:120:0),0,120,0,1.687304
(0:0:120),0,0,120,2.361201
(60:60:0),60,60,0,2.231644
(60:0:60),60,0,60,2.211665
(0:60:60),0,60,60,2.297954
 (40:40:40),40,40,40,2.470269
(40:40:10),40,40,10,2.423393
(40:40:20),40,40,20,2.212401
(40:10:40),40,10,40,2.296986
(40:20:40),40,20,40,1.780077
(10:40:40),10,40,40,1.665115
(20:40:40),20,40,40,2.065006
(40:10:10),40,10,10,1.695027
(40:20:20),40,20,20,2.144323
(10:40:10),10,40,10,2.594058
(20:40:20),20,40,20,2.259255
(10:10:40),10,10,40,2.711883
(20:20:40),20,20,40,2.06296
(10:20:40),10,20,40,2.607942
(20:10:40),20,10,40,2.148859
(10:40:20),10,40,20,2.138617
(20:40:10),20,40,10,2.04767
(40:10:20),40,10,20,1.469845
(40:20:10),40,20,10,2.374616
(10:10:10),10,10,10,NA
(120:0:0),120,0,0,1.686423
(0:120:0),0,120,0,2.165894
(0:0:120),0,0,120,1.730101
(60:60:0),60,60,0,2.222446
(60:0:60),60,0,60,1.730212
(0:60:60),0,60,60,1.239074
 (40:40:40),40,40,40,2.085098
(40:40:10),40,40,10,2.24228
(40:40:20),40,40,20,0.8424159
(40:10:40),40,10,40,1.572196
(40:20:40),40,20,40,1.77268
(10:40:40),10,40,40,NA
(20:40:40),20,40,40,1.889511
(40:10:10),40,10,10,1.422082
(40:20:20),40,20,20,1.352423
(10:40:10),10,40,10,NA
(20:40:20),20,40,20,0.8207287
(10:10:40),10,10,40,1.055453
(20:20:40),20,20,40,1.730538
(10:20:40),10,20,40,NA
(20:10:40),20,10,40,1.912
(10:40:20),10,40,20,1.565525
(20:40:10),20,40,10,1.564782
(40:10:20),40,10,20,NA
(40:20:10),40,20,10,1.141073
(10:10:10),10,10,10,0.7595677
(120:0:0),120,0,0,1.046039
(0:120:0),0,120,0,NA
(0:0:120),0,0,120,1.031404
(60:60:0),60,60,0,1.334584
(60:0:60),60,0,60,1.259836
(0:60:60),0,60,60,NA
