ASO,Dose,treatment,Sample Name,Target Name,CT
NT,0,NT,exp19-24,cf2223,33.273
NT,0,NT,exp19-24,cf2223,33.553
NT,0,NT,exp19-24,cf2223,32.927
NT,0,NT,exp19-24,cf2223,32.913
NT,0,NT,exp19-24,cf2223,32.456
NT,0,NT,exp19-24,cf2223,32.436
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,34.267
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,33.969
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,33.440
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,33.060
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,33.003
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,33.489
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,35.936
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,32.975
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,32.409
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,33.164
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,34.148
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,32.675
CHX,120 nM (60pmol),CHX,exp19-24,cf2223,32.615
CHX,120 nM (60pmol),CHX,exp19-24,cf2223,34.373
CHX,120 nM (60pmol),CHX,exp19-24,cf2223,32.250
CHX,120 nM (60pmol),CHX,exp19-24,cf2223,32.894
CHX,120 nM (60pmol),CHX,exp19-24,cf2223,32.781
CHX,120 nM (60pmol),CHX,exp19-24,cf2223,32.760
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,32.001
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,31.185
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,31.385
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,31.591
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,31.001
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,30.869
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,31.497
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,31.538
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,31.563
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,31.227
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,31.080
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,32.306
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,30.955
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,31.568
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,32.378
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,32.674
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,32.972
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,32.013
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,cf2223,32.453
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,cf2223,32.811
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,cf2223,32.099
