"","CT1","CT2","Gene","ASO","Dose","treatment","Sample.Name","mean_CT","dCT","ddCT","fc"
"1",38.271,32.922,"CFTR","NT",0,"NT","exp19-24",35.5965,14.6285,2.09066666666667,0.234772174453111
"2",31.909,34.354,"CFTR","NT",0,"NT","exp19-24",33.1315,11.895,-0.64283333333333,1.56139259564937
"3",32.735,32.162,"CFTR","NT",0,"NT","exp19-24",32.4485,11.09,-1.44783333333334,2.72798050288861
"4",32.891,32.723,"CFTR","sc ",120,"CHX","exp19-24",32.807,11.594,-0.943833333333332,1.92363266973249
"5",33.588,36.856,"CFTR","sc ",120,"CHX","exp19-24",35.222,14.0655,1.52766666666667,0.346837869589626
"6",34.645,31.317,"CFTR","sc ",120,"CHX","exp19-24",32.981,11.698,-0.839833333333333,1.78984335909893
"10",32.093,32.128,"CFTR","CHX",0,"488 508 526 120 nM (60pmol)","exp19-24",32.1105,10.8435,-1.69433333333333,3.23627304491708
"11",32.383,31.692,"CFTR","CHX",0,"488 508 526 120 nM (60pmol)","exp19-24",32.0375,10.864,-1.67383333333333,3.19061234395273
"12",32.815,38.282,"CFTR","CHX",0,"488 508 526 120 nM (60pmol)","exp19-24",35.5485,14.2865,1.74866666666666,0.297576670944569
"13",30.809,30.278,"CFTR"," 478-494 + 508",120,"120 nM (60 pmol) 478-494 + 508","exp19-24",30.5435,9.017,-3.52083333333333,11.478270178488
"14",30.958,30.186,"CFTR"," 478-494 + 508",120,"120 nM (60 pmol) 478-494 + 508","exp19-24",30.572,8.983,-3.55483333333333,11.7519913445252
"15",30.877,30.499,"CFTR"," 478-494 + 508",120,"120 nM (60 pmol) 478-494 + 508","exp19-24",30.688,9.0205,-3.51733333333333,11.4504574720107
"16",30.852,30.696,"CFTR"," 478-494 + 509",120,"120 nM (60 pmol) 478-494 + 509","exp19-24",30.774,9.293,-3.24483333333333,9.47964697251098
"17",30.525,31.155,"CFTR"," 478-494 + 509",120,"120 nM (60 pmol) 478-494 + 509","exp19-24",30.84,9.528,-3.00983333333333,8.05471382967269
"18",30.898,31.559,"CFTR"," 478-494 + 509",120,"120 nM (60 pmol) 478-494 + 509","exp19-24",31.2285,9.7385,-2.79933333333334,6.96118701159349
"19",30.336,30.559,"CFTR"," 478-494 + 510",120,"120 nM (60 pmol) 478-494 + 510","exp19-24",30.4475,8.6705,-3.86733333333334,14.5943022586186
"20",31.927,32.688,"CFTR"," 478-494 + 510",120,"120 nM (60 pmol) 478-494 + 510","exp19-24",32.3075,10.635,-1.90283333333333,3.73946876567957
"21",30.952,32.099,"CFTR"," 478-494 + 510",120,"120 nM (60 pmol) 478-494 + 510","exp19-24",31.5255,9.7905,-2.74733333333333,6.71474835393375
"22",30.676,30.99,"CFTR"," 478-494 + 511",120,"120 nM (60 pmol) 478-494 + 511","exp19-24",30.833,9.0755,-3.46233333333334,11.0221467335305
"23",31.164,30.911,"CFTR"," 478-494 + 511",120,"120 nM (60 pmol) 478-494 + 511","exp19-24",31.0375,9.2905,-3.24733333333333,9.49608819005552
"24",30.768,30.011,"CFTR"," 478-494 + 511",120,"120 nM (60 pmol) 478-494 + 511","exp19-24",30.3895,8.7445,-3.79333333333333,13.8645927334794
"25",29.983,29.872,"CFTR"," 478-494 + 512",120,"120 nM (60 pmol) 478-494 + 512","exp19-24",29.9275,8.473,-4.06483333333333,16.7354255728261
"26",29.886,30.606,"CFTR"," 478-494 + 512",120,"120 nM (60 pmol) 478-494 + 512","exp19-24",30.246,8.553,-3.98483333333333,15.8326773343792
"27",30.883,31.363,"CFTR"," 478-494 + 512",120,"120 nM (60 pmol) 478-494 + 512","exp19-24",31.123,9.3295,-3.20833333333334,9.24282157497821
