"","raw_pval","p.adjust","significance"
"(Intercept)",0.999999999999989,0.999999999999989,""
"ASOsc ",0.898199603859684,0.940971013567289,"ns"
"ASOCHX",0.420090720994259,0.462099793093685,"ns"
"ASO 478-494 + 508",3.67304308168332e-06,1.01008684746291e-05,"***"
"ASO 478-494 + 509",4.49150783841765e-05,6.17582327782426e-05,"***"
"ASO 478-494 + 510",0.000105108617054829,0.000128466087511458,"***"
"ASO 478-494 + 511",4.26037564864604e-06,1.04142515855792e-05,"***"
"ASO 478-494 + 512",1.22184061522946e-06,6.17006601480774e-06,"***"
"ASO 478-494 + 513",1.07970174651363e-05,1.7008328930115e-05,"***"
"ASO 478-494 + 514",8.14403315395294e-06,1.49307274489137e-05,"***"
"ASO 478-494 + 515",2.74458469879963e-06,8.62583762479883e-06,"***"
"ASO 478-494 + 516",2.14423040153424e-05,3.14487125558355e-05,"***"
"ASO 478-494 + 517",0.000267690900578922,0.000309957884880857,"***"
"ASO 478-494 + 518",6.79421598064933e-05,8.79251479848736e-05,"***"
"ASO 478-494 + 519",6.41109305816734e-07,4.70146824265605e-06,"***"
"ASO 478-494 + 520",1.96008047329652e-07,2.69774164065268e-06,"***"
"ASO 478-494 + 521",2.45249240059335e-07,2.69774164065268e-06,"***"
"ASO 478-494 + 522",6.33740526335101e-06,1.28739825423071e-05,"***"
"ASO 478-494 + 523",1.08234820464368e-05,1.7008328930115e-05,"***"
"ASO 478-494 + 524",1.84196675731118e-06,6.753878110141e-06,"***"
"ASO 478-494 + 525",6.43699127115354e-06,1.28739825423071e-05,"***"
"ASO 478-494 + 526",1.40228773063812e-06,6.17006601480774e-06,"***"
