"","CT1","CT2","Gene","ASO","Dose","treatment","Sample.Name","mean_CT","dCT","ddCT","fc"
"1",32.458,33.294,"CFTR","NT",0,"NT","exp19-24",32.876,10.9065,-0.197666666666668,1.14684201684232
"2",32.996,32.908,"CFTR","NT",0,"NT","exp19-24",32.952,10.886,-0.218166666666667,1.16325441820584
"3",33.611,33.317,"CFTR","NT",0,"NT","exp19-24",33.464,11.52,0.415833333333333,0.749586391491649
"4",34.132,33.962,"CFTR","sc ",120,"CHX","exp19-24",34.047,11.5565,0.452333333333334,0.730859840211315
"5",33.76,32.952,"CFTR","sc ",120,"CHX","exp19-24",33.356,10.751,-0.353166666666672,1.27736131723788
"6",34.071,34.876,"CFTR","sc ",120,"CHX","exp19-24",34.4735,11.937,0.832833333333335,0.56142556571524
"10",34.162,33.174,"CFTR","CHX",0,"488 508 526 120 nM (60pmol)","exp19-24",33.668,11.555,0.450833333333334,0.73162012554149
"11",33.206,33.134,"CFTR","CHX",0,"488 508 526 120 nM (60pmol)","exp19-24",33.17,11.182,0.0778333333333361,0.947479521403501
"12",33.68,33.929,"CFTR","CHX",0,"488 508 526 120 nM (60pmol)","exp19-24",33.8045,11.7585,0.654333333333339,0.635369026275967
"13",31.404,32.353,"CFTR"," 478-494 + 508",120,"120 nM (60 pmol) 478-494 + 508","exp19-24",31.8785,9.28,-1.82416666666666,3.54102410983632
"14",31.951,33.616,"CFTR"," 478-494 + 508",120,"120 nM (60 pmol) 478-494 + 508","exp19-24",32.7835,10.4265,-0.677666666666662,1.59955063929534
"15",31.181,33.926,"CFTR"," 478-494 + 508",120,"120 nM (60 pmol) 478-494 + 508","exp19-24",32.5535,10.1455,-0.958666666666668,1.94351287725904
"16",32.209,32.658,"CFTR"," 478-494 + 509",120,"120 nM (60 pmol) 478-494 + 509","exp19-24",32.4335,10.29,-0.814166666666663,1.75828223482003
"17",33.693,32.896,"CFTR"," 478-494 + 509",120,"120 nM (60 pmol) 478-494 + 509","exp19-24",33.2945,11.6215,0.517333333333331,0.698662042067319
"18",32.456,31.954,"CFTR"," 478-494 + 509",120,"120 nM (60 pmol) 478-494 + 509","exp19-24",32.205,9.5585,-1.54566666666667,2.9193894211971
"19",32.497,31.905,"CFTR"," 478-494 + 510",120,"120 nM (60 pmol) 478-494 + 510","exp19-24",32.201,9.9565,-1.14766666666667,2.21555273521087
"20",32.915,32.199,"CFTR"," 478-494 + 510",120,"120 nM (60 pmol) 478-494 + 510","exp19-24",32.557,10.205,-0.899166666666664,1.86498841233912
"21",33.014,35.58,"CFTR"," 478-494 + 510",120,"120 nM (60 pmol) 478-494 + 510","exp19-24",34.297,11.673,0.568833333333329,0.674161743588685
"22",32.257,34.305,"CFTR"," 478-494 + 511",120,"120 nM (60 pmol) 478-494 + 511","exp19-24",33.281,10.5295,-0.574666666666667,1.48933331430403
"23",32.876,33.127,"CFTR"," 478-494 + 511",120,"120 nM (60 pmol) 478-494 + 511","exp19-24",33.0015,10.1525,-0.951666666666666,1.93410573428685
"24",32.086,32.881,"CFTR"," 478-494 + 511",120,"120 nM (60 pmol) 478-494 + 511","exp19-24",32.4835,10.118,-0.986166666666668,1.98091457487342
"25",32.281,31.984,"CFTR"," 478-494 + 512",120,"120 nM (60 pmol) 478-494 + 512","exp19-24",32.1325,9.513,-1.59116666666666,3.01292898036791
"26",32.269,32.708,"CFTR"," 478-494 + 512",120,"120 nM (60 pmol) 478-494 + 512","exp19-24",32.4885,9.9885,-1.11566666666666,2.16695120380609
"27",31.967,33.408,"CFTR"," 478-494 + 512",120,"120 nM (60 pmol) 478-494 + 512","exp19-24",32.6875,9.9215,-1.18266666666666,2.26995967164928
"28",32.362,32.57,"CFTR"," 478-494 + 513",120,"120 nM (60 pmol) 478-494 + 513","exp19-24",32.466,10.0415,-1.06266666666667,2.08878885726816
"29",33.577,32.061,"CFTR"," 478-494 + 513",120,"120 nM (60 pmol) 478-494 + 513","exp19-24",32.819,10.303,-0.801166666666662,1.74250967526868
"30",32.982,32.552,"CFTR"," 478-494 + 513",120,"120 nM (60 pmol) 478-494 + 513","exp19-24",32.767,10.364,-0.740166666666669,1.67036879628114
"31",33.171,31.876,"CFTR"," 478-494 + 514",120,"120 nM (60 pmol) 478-494 + 514","exp19-24",32.5235,9.993,-1.11116666666667,2.16020266164877
"32",32.484,32.615,"CFTR"," 478-494 + 514",120,"120 nM (60 pmol) 478-494 + 514","exp19-24",32.5495,10.0425,-1.06166666666666,2.08734152082749
"33",32.654,33.275,"CFTR"," 478-494 + 514",120,"120 nM (60 pmol) 478-494 + 514","exp19-24",32.9645,10.406,-0.698166666666664,1.62244173214672
"34",33.553,33.969,"CFTR"," 478-494 + 515",120,"120 nM (60 pmol) 478-494 + 515","exp19-24",33.761,11.234,0.129833333333329,0.91393702627647
"35",33.554,32.457,"CFTR"," 478-494 + 515",120,"120 nM (60 pmol) 478-494 + 515","exp19-24",33.0055,10.373,-0.731166666666669,1.65998092862015
"36",32.607,33.155,"CFTR"," 478-494 + 515",120,"120 nM (60 pmol) 478-494 + 515","exp19-24",32.881,10.266,-0.838166666666668,1.78777684486419
"37",33.44,32.169,"CFTR"," 478-494 + 516",120,"120 nM (60 pmol) 478-494 + 516","exp19-24",32.8045,10.626,-0.478166666666668,1.39297239385538
"38",32.234,32.547,"CFTR"," 478-494 + 516",120,"120 nM (60 pmol) 478-494 + 516","exp19-24",32.3905,10.4655,-0.638666666666664,1.55688962267975
"39",32.113,35.385,"CFTR"," 478-494 + 516",120,"120 nM (60 pmol) 478-494 + 516","exp19-24",33.749,11.0825,-0.0216666666666701,1.01513152858598
"40",32.462,32.527,"CFTR"," 478-494 + 517",120,"120 nM (60 pmol) 478-494 + 517","exp19-24",32.4945,10.022,-1.08216666666666,2.11721336570191
"41",34.952,32.39,"CFTR"," 478-494 + 517",120,"120 nM (60 pmol) 478-494 + 517","exp19-24",33.671,10.8775,-0.226666666666668,1.17012825320612
"42",34.22,33.273,"CFTR"," 478-494 + 517",120,"120 nM (60 pmol) 478-494 + 517","exp19-24",33.7465,10.764,-0.34016666666667,1.26590282835268
"43",33.083,34.035,"CFTR"," 478-494 + 518",120,"120 nM (60 pmol) 478-494 + 518","exp19-24",33.559,10.7505,-0.353666666666671,1.27780409365855
"44",34.606,32.49,"CFTR"," 478-494 + 518",120,"120 nM (60 pmol) 478-494 + 518","exp19-24",33.548,9.5495,-1.55466666666666,2.93765844491623
"45",33.635,32.71,"CFTR"," 478-494 + 518",120,"120 nM (60 pmol) 478-494 + 518","exp19-24",33.1725,10.243,-0.861166666666668,1.81650667440198
"46",33.256,33.414,"CFTR"," 478-494 + 519",120,"120 nM (60 pmol) 478-494 + 519","exp19-24",33.335,10.16,-0.944166666666666,1.92407717460221
"47",32.485,34.339,"CFTR"," 478-494 + 519",120,"120 nM (60 pmol) 478-494 + 519","exp19-24",33.412,9.955,-1.14916666666667,2.21785748935131
"48",33.748,31.529,"CFTR"," 478-494 + 519",120,"120 nM (60 pmol) 478-494 + 519","exp19-24",32.6385,9.5105,-1.59366666666667,3.01815451471071
"49",33.059,32.249,"CFTR"," 478-494 + 520",120,"120 nM (60 pmol) 478-494 + 520","exp19-24",32.654,9.95549999999999,-1.14866666666667,2.21708897170016
"50",31.647,34.001,"CFTR"," 478-494 + 520",120,"120 nM (60 pmol) 478-494 + 520","exp19-24",32.824,10.156,-0.948166666666667,1.92941925154623
"51",31.575,31.94,"CFTR"," 478-494 + 520",120,"120 nM (60 pmol) 478-494 + 520","exp19-24",31.7575,9.2295,-1.87466666666666,3.66716877902774
"52",31.26,32.056,"CFTR"," 478-494 + 521",120,"120 nM (60 pmol) 478-494 + 521","exp19-24",31.658,9.076,-2.02816666666667,4.07886191338159
"53",32.422,33.257,"CFTR"," 478-494 + 521",120,"120 nM (60 pmol) 478-494 + 521","exp19-24",32.8395,10.1325,-0.971666666666666,1.96110484419641
"54",32.829,33.773,"CFTR"," 478-494 + 521",120,"120 nM (60 pmol) 478-494 + 521","exp19-24",33.301,10.6315,-0.472666666666663,1.38767206164753
"55",33.431,32.333,"CFTR"," 478-494 + 522",120,"120 nM (60 pmol) 478-494 + 522","exp19-24",32.882,10.196,-0.908166666666668,1.87665918064895
"56",33.312,32.798,"CFTR"," 478-494 + 522",120,"120 nM (60 pmol) 478-494 + 522","exp19-24",33.055,9.617,-1.48716666666667,2.80337873846682
"57",32.132,32.953,"CFTR"," 478-494 + 522",120,"120 nM (60 pmol) 478-494 + 522","exp19-24",32.5425,10.1365,-0.967666666666661,1.95567503781058
"58",32.343,31.782,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-24",32.0625,9.6375,-1.46666666666667,2.76382575993555
"59",31.798,30.947,"CFTR"," 478-494 + 523",120,"120 nM (60 pmol) 478-494 + 523","exp19-24",31.3725,8.893,-2.21116666666667,4.63049577291085
