"","raw_pval","p.adjust","significance"
"(Intercept)",0.999999999999999,0.999999999999999,""
"ASOsc ",0.482094965414813,0.504008372933668,"ns"
"ASOCHX",0.373047047345642,0.428394653761269,"ns"
"ASO 478-494 + 508",0.0115349745944913,0.0265304415673301,"*"
"ASO 478-494 + 509",0.167916929290823,0.241380585855558,"ns"
"ASO 478-494 + 510",0.266902509477527,0.338216390669051,"ns"
"ASO 478-494 + 511",0.0623152247965646,0.0955500113547324,"ns"
"ASO 478-494 + 512",0.00488230519900476,0.0212070300168233,"*"
"ASO 478-494 + 513",0.0536965100669618,0.0882156951100087,"ns"
"ASO 478-494 + 514",0.0341693588372221,0.0654912711046758,"ns"
"ASO 478-494 + 515",0.279396148813564,0.338216390669051,"ns"
"ASO 478-494 + 516",0.39114294473855,0.428394653761269,"ns"
"ASO 478-494 + 517",0.216217233309045,0.292529198006355,"ns"
"ASO 478-494 + 518",0.0406995731753776,0.0720069371564373,"ns"
"ASO 478-494 + 519",0.00737635826672113,0.0212070300168233,"*"
"ASO 478-494 + 520",0.00411728696805782,0.0212070300168233,"*"
"ASO 478-494 + 521",0.0112694209492759,0.0265304415673301,"*"
"ASO 478-494 + 522",0.0139145024000801,0.0290939595638039,"*"
"ASO 478-494 + 523",0.00666243348006373,0.0212070300168233,"*"
"ASO 478-494 + 524",0.000883293588483428,0.00677191751170628,"**"
"ASO 478-494 + 525",0.0058677188355368,0.0212070300168233,"*"
"ASO 478-494 + 526",0.000769901194970597,0.00677191751170628,"**"
"ASO 478-494 ",0.000580865186147186,0.00677191751170628,"**"
