ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
NT,0,NT,exp19-24,cf2223,38.271,
NT,0,NT,exp19-24,cf2223,32.922,
NT,0,NT,exp19-24,cf2223,31.909,
NT,0,NT,exp19-24,cf2223,34.354,
NT,0,NT,exp19-24,cf2223,32.735,
NT,0,NT,exp19-24,cf2223,32.162,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,32.891,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,32.723,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,33.588,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,36.856,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,34.645,
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-24,cf2223,31.317,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,31.926,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,34.538,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,31.741,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,33.937,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,32.297,
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-24,cf2223,32.834,
CHX,0,CHX,exp19-24,cf2223,32.093,
CHX,0,CHX,exp19-24,cf2223,32.128,
CHX,0,CHX,exp19-24,cf2223,32.383,
CHX,0,CHX,exp19-24,cf2223,31.692,
CHX,0,CHX,exp19-24,cf2223,32.815,
CHX,0,CHX,exp19-24,cf2223,38.282,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,30.809,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,30.278,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,30.958,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,30.186,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,30.877,
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-24,cf2223,30.499,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,30.852,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,30.696,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,30.525,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,31.155,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,30.898,
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-24,cf2223,31.559,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,30.336,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,30.559,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,31.927,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,32.688,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,30.952,
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-24,cf2223,32.099,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,cf2223,30.676,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,cf2223,30.99,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,cf2223,31.164,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,cf2223,30.911,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,cf2223,30.768,
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-24,cf2223,30.011,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,cf2223,29.983,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,cf2223,29.872,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,cf2223,29.886,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,cf2223,30.606,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,cf2223,30.883,
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-24,cf2223,31.363,
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-24,cf2223,30.707,
