ASO,Dose,treatment,Sample Name
NT,0,NT,exp19-24
NT,0,NT,exp19-24
NT,0,NT,exp19-24
sc ,120,CHX,exp19-24
sc ,120,CHX,exp19-24
sc ,120,CHX,exp19-24
488 508 526 ,120,sc 120 nM (60pmol),exp19-24
488 508 526 ,120,sc 120 nM (60pmol),exp19-24
488 508 526 ,120,sc 120 nM (60pmol),exp19-24
CHX,0,488 508 526 120 nM (60pmol),exp19-24
CHX,0,488 508 526 120 nM (60pmol),exp19-24
CHX,0,488 508 526 120 nM (60pmol),exp19-24
 478-494 + 508,120,120 nM (60 pmol) 478-494 + 508,exp19-24
 478-494 + 508,120,120 nM (60 pmol) 478-494 + 508,exp19-24
 478-494 + 508,120,120 nM (60 pmol) 478-494 + 508,exp19-24
 478-494 + 509,120,120 nM (60 pmol) 478-494 + 509,exp19-24
 478-494 + 509,120,120 nM (60 pmol) 478-494 + 509,exp19-24
 478-494 + 509,120,120 nM (60 pmol) 478-494 + 509,exp19-24
 478-494 + 510,120,120 nM (60 pmol) 478-494 + 510,exp19-24
 478-494 + 510,120,120 nM (60 pmol) 478-494 + 510,exp19-24
 478-494 + 510,120,120 nM (60 pmol) 478-494 + 510,exp19-24
 478-494 + 511,120,120 nM (60 pmol) 478-494 + 511,exp19-24
 478-494 + 511,120,120 nM (60 pmol) 478-494 + 511,exp19-24
 478-494 + 511,120,120 nM (60 pmol) 478-494 + 511,exp19-24
 478-494 + 512,120,120 nM (60 pmol) 478-494 + 512,exp19-24
 478-494 + 512,120,120 nM (60 pmol) 478-494 + 512,exp19-24
 478-494 + 512,120,120 nM (60 pmol) 478-494 + 512,exp19-24
 478-494 + 513,120,120 nM (60 pmol) 478-494 + 513,exp19-24
 478-494 + 513,120,120 nM (60 pmol) 478-494 + 513,exp19-24
 478-494 + 513,120,120 nM (60 pmol) 478-494 + 513,exp19-24
 478-494 + 514,120,120 nM (60 pmol) 478-494 + 514,exp19-24
 478-494 + 514,120,120 nM (60 pmol) 478-494 + 514,exp19-24
 478-494 + 514,120,120 nM (60 pmol) 478-494 + 514,exp19-24
 478-494 + 515,120,120 nM (60 pmol) 478-494 + 515,exp19-24
 478-494 + 515,120,120 nM (60 pmol) 478-494 + 515,exp19-24
 478-494 + 515,120,120 nM (60 pmol) 478-494 + 515,exp19-24
 478-494 + 516,120,120 nM (60 pmol) 478-494 + 516,exp19-24
 478-494 + 516,120,120 nM (60 pmol) 478-494 + 516,exp19-24
 478-494 + 516,120,120 nM (60 pmol) 478-494 + 516,exp19-24
 478-494 + 517,120,120 nM (60 pmol) 478-494 + 517,exp19-24
 478-494 + 517,120,120 nM (60 pmol) 478-494 + 517,exp19-24
 478-494 + 517,120,120 nM (60 pmol) 478-494 + 517,exp19-24
 478-494 + 518,120,120 nM (60 pmol) 478-494 + 518,exp19-24
 478-494 + 518,120,120 nM (60 pmol) 478-494 + 518,exp19-24
 478-494 + 518,120,120 nM (60 pmol) 478-494 + 518,exp19-24
 478-494 + 519,120,120 nM (60 pmol) 478-494 + 519,exp19-24
 478-494 + 519,120,120 nM (60 pmol) 478-494 + 519,exp19-24
 478-494 + 519,120,120 nM (60 pmol) 478-494 + 519,exp19-24
 478-494 + 520,120,120 nM (60 pmol) 478-494 + 520,exp19-24
 478-494 + 520,120,120 nM (60 pmol) 478-494 + 520,exp19-24
 478-494 + 520,120,120 nM (60 pmol) 478-494 + 520,exp19-24
 478-494 + 521,120,120 nM (60 pmol) 478-494 + 521,exp19-24
 478-494 + 521,120,120 nM (60 pmol) 478-494 + 521,exp19-24
 478-494 + 521,120,120 nM (60 pmol) 478-494 + 521,exp19-24
 478-494 + 522,120,120 nM (60 pmol) 478-494 + 522,exp19-24
 478-494 + 522,120,120 nM (60 pmol) 478-494 + 522,exp19-24
 478-494 + 522,120,120 nM (60 pmol) 478-494 + 522,exp19-24
 478-494 + 523,120,120 nM (60 pmol) 478-494 + 523,exp19-24
 478-494 + 523,120,120 nM (60 pmol) 478-494 + 523,exp19-24
 478-494 + 523,120,120 nM (60 pmol) 478-494 + 523,exp19-24
 478-494 + 524,120,120 nM (60 pmol) 478-494 + 524,exp19-24
 478-494 + 524,120,120 nM (60 pmol) 478-494 + 524,exp19-24
 478-494 + 524,120,120 nM (60 pmol) 478-494 + 524,exp19-24
 478-494 + 525,120,120 nM (60 pmol) 478-494 + 525,exp19-24
 478-494 + 525,120,120 nM (60 pmol) 478-494 + 525,exp19-24
 478-494 + 525,120,120 nM (60 pmol) 478-494 + 525,exp19-24
 478-494 + 526,120,120 nM (60 pmol) 478-494 + 526,exp19-24
 478-494 + 526,120,120 nM (60 pmol) 478-494 + 526,exp19-24
 478-494 + 526,120,120 nM (60 pmol) 478-494 + 526,exp19-24
 478-494 ,120,120 nM (60 pmol) 478-494 ,exp19-24
 478-494 ,120,120 nM (60 pmol) 478-494 ,exp19-24
 478-494 ,120,120 nM (60 pmol) 478-494 ,exp19-24
