"","ASO","pvals","mean_fc","significance"
"","NT",0,1,""
"CHX-NT","CHX",3.68159609687169e-07,4.25551381046057,"***"
"sc -NT","sc ",0.999999995485548,0.874885829842354,"ns"
"488 508 526 -NT","488 508 526 ",1,0.980439150783348,"ns"
" 478-494 + 508-NT"," 478-494 + 508",1.4820040406871e-05,3.45894801960208,"***"
" 478-494 + 509-NT"," 478-494 + 509",0.000108141859936683,3.09048515112365,"***"
" 478-494 + 510-NT"," 478-494 + 510",0.000465940976133394,2.84021471708687,"***"
" 478-494 + 511-NT"," 478-494 + 511",2.05495799265876e-08,5.00950018046479,"***"
" 478-494 + 512-NT"," 478-494 + 512",6.1714176369243e-06,3.63343307520782,"***"
" 478-494 + 513-NT"," 478-494 + 513",0.000145730374782715,3.03809433377707,"***"
" 478-494 + 514-NT"," 478-494 + 514",1.30328166036975e-08,5.14141927561619,"***"
" 478-494 + 515-NT"," 478-494 + 515",1.76584125388679e-06,3.89736756480685,"***"
" 478-494 + 516-NT"," 478-494 + 516",3.21439569805904e-05,3.31115221454623,"***"
" 478-494 + 517-NT"," 478-494 + 517",6.34259766929546e-08,4.69893344359717,"***"
" 478-494 + 518-NT"," 478-494 + 518",1.74663445595691e-07,4.43776518791924,"***"
" 478-494 + 519-NT"," 478-494 + 519",5.65860691636999e-11,7.05999257721674,"***"
" 478-494 + 520-NT"," 478-494 + 520",1.08400621812166e-10,6.79512457424974,"***"
" 478-494 + 521-NT"," 478-494 + 521",1.92283596822662e-08,6.08461789498634,"***"
" 478-494 + 522-NT"," 478-494 + 522",4.38442615546819e-11,7.16599316090286,"***"
" 478-494 + 523-NT"," 478-494 + 523",2.12462891724385e-09,5.70739864023887,"***"
" 478-494 + 524-NT"," 478-494 + 524",2.60546271224626e-08,4.94224546611469,"***"
" 478-494 + 525-NT"," 478-494 + 525",2.36031474276643e-05,3.36941936386719,"***"
" 478-494 + 526-NT"," 478-494 + 526",8.09844161608897e-06,3.57844630827896,"***"
" 478-494 -NT"," 478-494 ",2.09593565680954e-05,3.3920717033879,"***"
