"","CT1","CT2","Gene","ASO","Dose","treatment","Sample.Name","mean_CT","dCT","ddCT","fc"
"1",31.583,30.715,"CFTR","NT",0,"NT","exp19-26",31.149,10.4115,-0.028666666666668,1.02006894604754
"2",32.432,30.632,"CFTR","NT",0,"NT","exp19-26",31.532,11.186,0.745833333333335,0.596323322157803
"3",30.691,30.844,"CFTR","NT",0,"NT","exp19-26",30.7675,9.723,-0.717166666666669,1.64395028020373
"4",28.746,28.755,"CFTR","CHX",0,"CHX","exp19-26",28.7505,8.188,-2.25216666666667,4.76397772195898
"5",28.83,29,"CFTR","CHX",0,"CHX","exp19-26",28.915,8.616,-1.82416666666667,3.54102410983633
"6",28.995,28.707,"CFTR","CHX",0,"CHX","exp19-26",28.851,8.2485,-2.19166666666667,4.56832935724309
"7",31.04,31.121,"CFTR","sc ",120,"sc 120 nM (60pmol)","exp19-26",31.0805,10.459,0.018833333333335,0.987030565541952
"8",31.053,31.177,"CFTR","sc ",120,"sc 120 nM (60pmol)","exp19-26",31.115,10.921,0.480833333333331,0.716563601078432
"9",30.275,31.033,"CFTR","sc ",120,"sc 120 nM (60pmol)","exp19-26",30.654,10.519,0.0788333333333338,0.946823006201719
"10",30.75,30.768,"CFTR","488 508 526 ",120,"488 508 526 120 nM (60pmol)","exp19-26",30.759,10.791,0.350833333333332,0.784131035212841
"11",30.846,30.87,"CFTR","488 508 526 ",120,"488 508 526 120 nM (60pmol)","exp19-26",30.858,10.6395,0.199333333333334,0.870952936035796
"12",30.961,30.484,"CFTR","488 508 526 ",120,"488 508 526 120 nM (60pmol)","exp19-26",30.7225,9.9755,-0.464666666666668,1.37999846920973
"13",29.858,29.548,"CFTR"," 478-494 + 508",120,"120 nM (60 pmol) 478-494 + 508","exp19-26",29.703,8.8655,-1.57466666666667,2.97866662860806
"14",29.186,29.36,"CFTR"," 478-494 + 508",120,"120 nM (60 pmol) 478-494 + 508","exp19-26",29.273,8.645,-1.79516666666667,3.47055565976205
"15",29.402,29.301,"CFTR"," 478-494 + 508",120,"120 nM (60 pmol) 478-494 + 508","exp19-26",29.3515,8.439,-2.00116666666667,4.00323599509511
"16",29.363,26.91,"CFTR"," 478-494 + 509",120,"120 nM (60 pmol) 478-494 + 509","exp19-26",28.1365,7.786,-2.65416666666667,6.29482672772478
"17",30.081,29.869,"CFTR"," 478-494 + 509",120,"120 nM (60 pmol) 478-494 + 509","exp19-26",29.975,9.5205,-0.91966666666667,1.89167817249102
"18",29.266,29.292,"CFTR"," 478-494 + 509",120,"120 nM (60 pmol) 478-494 + 509","exp19-26",29.279,9.1305,-1.30966666666667,2.47884259945507
"19",29.459,29.136,"CFTR"," 478-494 + 510",120,"120 nM (60 pmol) 478-494 + 510","exp19-26",29.2975,9.3325,-1.10766666666667,2.15496832915567
