ASO,Dose,treatment,Sample Name,Target Name,CT,Undetermined?
NT,0,NT,exp19-26,cf2223,31.973,CT
NT,0,NT,exp19-26,cf2223,31.824,CT
NT,0,NT,exp19-26,cf2223,30.721,CT
NT,0,NT,exp19-26,cf2223,31.405,CT
NT,0,NT,exp19-26,cf2223,32.398,CT
NT,0,NT,exp19-26,cf2223,31.95,CT
CHX,0,CHX,exp19-26,cf2223,28.693,CT
CHX,0,CHX,exp19-26,cf2223,28.639,CT
CHX,0,CHX,exp19-26,cf2223,28.911,CT
CHX,0,CHX,exp19-26,cf2223,29.238,CT
CHX,0,CHX,exp19-26,cf2223,28.737,CT
CHX,0,CHX,exp19-26,cf2223,28.849,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,32.07,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,30.478,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,31.356,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,30.982,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,31.103,CT
Scramble,120 nM (60pmol),sc 120 nM (60pmol),exp19-26,cf2223,30.416,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,0,undetermined
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,30.425,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,30.952,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,31.055,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,31.716,CT
488 508 526,120 nM (60pmol),488 508 526 120 nM (60pmol),exp19-26,cf2223,31.068,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,30.266,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.907,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.76,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.704,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.821,CT
478-494 + 508,120 nM (60pmol),120 nM (60 pmol) 478-494 + 508,exp19-26,cf2223,29.467,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,29.89,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,29.401,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,30.454,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,30.068,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,29.7,CT
478-494 + 509,120 nM (60pmol),120 nM (60 pmol) 478-494 + 509,exp19-26,cf2223,29.787,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.976,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.59,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.326,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.949,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.647,CT
478-494 + 510,120 nM (60pmol),120 nM (60 pmol) 478-494 + 510,exp19-26,cf2223,29.452,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,28.848,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,29.01,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,29.274,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,29.544,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,29.156,CT
478-494 + 511,120 nM (60pmol),120 nM (60 pmol) 478-494 + 511,exp19-26,cf2223,28.659,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.112,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.126,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.099,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.265,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.461,CT
478-494 + 512,120 nM (60pmol),120 nM (60 pmol) 478-494 + 512,exp19-26,cf2223,29.275,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.04,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.107,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.434,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.751,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.703,CT
478-494 + 513,120 nM (60pmol),120 nM (60 pmol) 478-494 + 513,exp19-26,cf2223,29.306,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,28.93,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,29.425,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,28.749,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,28.51,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,29.395,CT
478-494 + 514,120 nM (60pmol),120 nM (60 pmol) 478-494 + 514,exp19-26,cf2223,29.335,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,28.978,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,29.089,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,29.654,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,28.745,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,29.717,CT
478-494 + 515,120 nM (60pmol),120 nM (60 pmol) 478-494 + 515,exp19-26,cf2223,29.357,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.469,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.244,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.703,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.263,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.458,CT
478-494 + 516,120 nM (60pmol),120 nM (60 pmol) 478-494 + 516,exp19-26,cf2223,29.667,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,28.948,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,29.225,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,28.982,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,28.757,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,28.824,CT
478-494 + 517,120 nM (60pmol),120 nM (60 pmol) 478-494 + 517,exp19-26,cf2223,28.951,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.78,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,29.097,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.596,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.273,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.673,CT
478-494 + 518,120 nM (60pmol),120 nM (60 pmol) 478-494 + 518,exp19-26,cf2223,28.52,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.251,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.242,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.521,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.19,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.409,CT
478-494 + 519,120 nM (60pmol),120 nM (60 pmol) 478-494 + 519,exp19-26,cf2223,28.393,CT
