Gene,Tx,fc
C1orf37,HBB,1.589607577
C1orf37,HBB,0.486486645
C1orf37,HBB,1.293120965
C1orf37,CFTR,1.460076572
C1orf37,CFTR,1.106464613
C1orf37,CFTR,1.659468764
CF22-23,HBB,0.50415415
CF22-23,HBB,1.696534824
CF22-23,HBB,1.169159802
CF22-23,CFTR,2.517943908
CF22-23,CFTR,2.829826002
CF22-23,CFTR,3.085118359
eif4a2,HBB,0.695737022
eif4a2,HBB,1.338138134
eif4a2,HBB,1.074122808
eif4a2,CFTR,1.199231673
eif4a2,CFTR,1.002171436
eif4a2,CFTR,1.172264105
gadd45a,HBB,0.702157652
gadd45a,HBB,1.150003223
gadd45a,HBB,1.238415303
gadd45a,CFTR,1.272576944
gadd45a,CFTR,1.52464443
gadd45a,CFTR,1.214578911
RPL12,HBB,0.742800571
RPL12,HBB,1.153855737
RPL12,HBB,1.16674583
RPL12,CFTR,1.273877574
RPL12,CFTR,0.788439211
RPL12,CFTR,1.01417632
SF3B1,HBB,0.09437579
SF3B1,HBB,1.084082199
SF3B1,HBB,9.774109215
SF3B1,CFTR,0.32696706
SF3B1,CFTR,1.531216945
SF3B1,CFTR,2.86197046
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
