Sample,Experiments
NT,exp18-40
NT,exp18-40
NT,exp18-40
NT,exp18-40
NT,exp18-40
NT,exp18-40
120pmol (240nM) Scramble 478 498 515,exp18-40
120pmol (240nM) Scramble 478 498 515,exp18-40
120pmol (240nM) Scramble 478 498 515,exp18-40
120pmol (240nM) 488 507 526,exp18-40
120pmol (240nM) 488 507 526,exp18-40
120pmol (240nM) 488 507 526,exp18-40
3pmol (6nM) 478 495 515,exp18-40
3pmol (6nM) 478 495 515,exp18-40
3pmol (6nM) 478 495 515,exp18-40
15pmol (30nM) 478 495 515,exp18-40
15pmol (30nM) 478 495 515,exp18-40
15pmol (30nM) 478 495 515,exp18-40
30pmol (60nM) 478 495 515,exp18-40
30pmol (60nM) 478 495 515,exp18-40
30pmol (60nM) 478 495 515,exp18-40
60pmol (120nM) 478 495 515,exp18-40
60pmol (120nM) 478 495 515,exp18-40
60pmol (120nM) 478 495 515,exp18-40
120pmol (240nM) 478 495 515,exp18-40
120pmol (240nM) 478 495 515,exp18-40
120pmol (240nM) 478 495 515,exp18-40
3pmol (6nM) 478 496 515,exp18-40
3pmol (6nM) 478 496 515,exp18-40
3pmol (6nM) 478 496 515,exp18-40
15pmol (30nM) 478 496 515,exp18-40
15pmol (30nM) 478 496 515,exp18-40
15pmol (30nM) 478 496 515,exp18-40
30pmol (60nM) 478 496 515,exp18-40
30pmol (60nM) 478 496 515,exp18-40
60pmol (120nM) 478 496 515,exp18-40
60pmol (120nM) 478 496 515,exp18-40
60pmol (120nM) 478 496 515,exp18-40
120pmol (240nM) 478 496 515,exp18-40
120pmol (240nM) 478 496 515,exp18-40
120pmol (240nM) 478 496 515,exp18-40
60pmol (120nM) 478 498 515,exp18-40
60pmol (120nM) 478 498 515,exp18-40
60pmol (120nM) 478 498 515,exp18-40
120pmol (240nM) 478 498 515,exp18-40
120pmol (240nM) 478 498 515,exp18-40
120pmol (240nM) 478 498 515,exp18-40
