"","V1","V2"
"1","NT",1.256982564
"3","NT",1.071903406
"5","NT",0.881591361
"7","NT",0.907304199
"9","NT",1.045052044
"11","NT",0.956890143
"13","210nM scramble 478 498 515",0.509179103
"15","210nM scramble 478 498 515",0.953626757
"17","210nM scramble 478 498 515",1.053819168
"19","210nM 488 507 526",1.072147181
"21","210nM 488 507 526",1.055663322
"23","210nM 488 507 526",1.065195924
"25","20nM 478 494 515",0.951061406
"27","20nM 478 494 515",0.741512275
"29","20nM 478 494 515",1.12698192
"31","120nM 478 494 515 + CHX",3.599566429
"33","120nM 478 494 515 + CHX",2.566002933
"35","120nM 478 494 515 + CHX",2.948901846
"37","120nM 478 494 515",0.841502525
"39","120nM 478 494 515",1.369074822
"41","120nM 478 494 515",1.270377934
"43","210nM 478 494 515",1.630627408
"45","210nM 478 494 515",1.317063187
"47","210nM 478 494 515",1.801586547
